time,temperature,humidity,quality_Potted,quality_Reservoir,luminance,CO2,Potted,Reservoir
2021-12-01 00:00:25,18.2,93,185,258,78.12,172,16.25,17.31
2021-12-01 00:10:26,18.2,93,187,258,77.15,171,16.19,17.31
2021-12-01 00:20:25,18.2,93,187,258,78.12,175,16.12,17.25
2021-12-01 00:30:26,18.1,93,187,258,78.12,172,16.06,17.25
2021-12-01 00:40:25,18,93,187,258,78.12,170,16.06,17.25
2021-12-01 00:50:26,18.1,93,187,258,78.12,174,16,17.19
2021-12-01 01:00:27,18,93,185,258,80.08,170,16,17.19
2021-12-01 01:10:26,17.9,92,185,258,78.12,178,15.94,17.19
2021-12-01 01:20:26,17.9,92,185,258,78.12,176,15.88,17.12
2021-12-01 01:30:25,17.9,92,187,258,78.12,179,15.81,17.12
2021-12-01 01:40:26,17.8,92,185,258,78.12,177,15.81,17.06
2021-12-01 01:50:25,17.8,92,183,258,78.12,175,15.75,17.06
2021-12-01 02:00:26,17.8,92,183,258,78.12,180,15.69,17.06
2021-12-01 02:10:25,17.8,92,183,258,79.1,176,15.63,17
2021-12-01 02:20:26,17.7,92,185,258,81.05,176,15.56,17
2021-12-01 02:30:27,17.7,92,183,258,78.12,177,15.56,16.94
2021-12-01 02:40:26,17.6,92,181,258,78.12,177,15.5,16.94
2021-12-01 02:50:26,17.6,92,183,258,79.1,179,15.5,16.94
2021-12-01 03:00:25,17.6,92,183,258,78.12,179,15.44,16.87
2021-12-01 03:10:26,17.6,92,185,258,80.08,176,15.44,16.87
2021-12-01 03:20:25,17.5,92,185,256,79.1,174,15.38,16.81
2021-12-01 03:30:26,17.6,92,183,258,78.12,176,15.44,16.81
2021-12-01 03:40:27,17.6,92,183,258,78.12,177,15.44,16.81
2021-12-01 03:50:26,17.6,92,183,258,79.1,178,15.44,16.81
2021-12-01 04:00:26,17.7,92,183,258,79.1,176,15.44,16.75
2021-12-01 04:10:25,17.8,92,185,258,79.1,177,15.5,16.75
2021-12-01 04:20:26,17.8,92,185,258,79.1,177,15.5,16.75
2021-12-01 04:30:25,17.9,92,185,258,79.1,173,15.56,16.75
2021-12-01 04:40:26,17.9,92,187,258,78.12,173,15.63,16.75
2021-12-01 04:50:25,17.9,92,185,258,79.1,173,15.63,16.75
2021-12-01 05:00:26,17.9,92,185,258,77.15,173,15.69,16.75
2021-12-01 05:10:27,17.8,92,187,258,78.12,174,15.69,16.75
2021-12-01 05:20:26,17.9,92,185,260,78.12,176,15.75,16.75
2021-12-01 05:30:26,17.9,92,185,258,78.12,176,15.75,16.75
2021-12-01 05:40:25,17.8,92,187,258,78.12,175,15.75,16.75
2021-12-01 05:50:26,17.9,92,185,258,80.08,174,15.81,16.75
2021-12-01 06:00:25,17.9,92,187,260,77.15,176,15.81,16.75
2021-12-01 06:10:26,17.9,92,187,260,77.15,172,15.81,16.75
2021-12-01 06:20:25,17.9,92,187,260,77.15,171,15.88,16.75
2021-12-01 06:30:26,17.9,92,187,258,77.15,173,15.88,16.75
2021-12-01 06:40:27,17.9,92,187,260,77.15,173,15.88,16.75
2021-12-01 06:50:26,17.9,92,187,260,77.15,174,15.88,16.75
2021-12-01 07:00:26,17.9,92,187,260,77.15,174,15.88,16.75
2021-12-01 07:10:25,17.9,92,185,260,81.05,180,15.88,16.75
2021-12-01 07:20:26,17.9,92,187,260,77.15,180,15.94,16.75
2021-12-01 07:30:25,17.8,92,187,260,77.15,171,15.88,16.69
2021-12-01 07:40:26,17.9,92,187,260,78.12,169,15.94,16.75
2021-12-01 07:50:25,17.9,92,187,260,76.17,169,15.88,16.75
2021-12-01 08:00:26,17.7,92,185,260,77.15,172,15.81,16.69
2021-12-01 08:10:27,17.5,92,185,261,78.12,172,15.69,16.69
2021-12-01 08:20:26,17.5,92,187,260,80.08,172,15.63,16.69
2021-12-01 08:30:26,17.4,92,185,260,79.1,176,15.56,16.62
2021-12-01 08:40:25,17.4,92,185,260,80.08,176,15.44,16.62
