vdid,linkid,laneid,lanetype,speed,occupancy,vehicletype,volume,speed2,status,datacollecttime
VD-11-0020-000-01,3000200000027F,0,1,59.0,10.2,L,0,,0,2022-01-02 11:14:06
VD-11-0020-000-01,3000200000027F,0,1,59.0,10.2,S,10,,0,2022-01-02 11:14:06
VD-11-0020-000-01,3000200000027F,1,1,46.0,6.5,L,0,,0,2022-01-02 11:14:06
VD-11-0020-000-01,3000200000027F,1,1,46.0,6.5,S,5,,0,2022-01-02 11:14:06
VD-11-0020-000-01,3000200000027F,2,1,56.0,7.0,L,0,,0,2022-01-02 11:14:06
VD-11-0020-000-01,3000200000027F,2,1,56.0,7.0,S,21,,0,2022-01-02 11:14:06
VD-11-0020-002-01,3000200000176F,0,1,48.0,21.0,L,1,,0,2022-01-02 11:14:06
VD-11-0020-002-01,3000200000176F,0,1,48.0,21.0,S,26,,0,2022-01-02 11:14:06
VD-11-0020-002-01,3000200000176F,1,1,48.0,5.0,L,0,,0,2022-01-02 11:14:06
VD-11-0020-002-01,3000200000176F,1,1,48.0,5.0,S,11,,0,2022-01-02 11:14:06
VD-11-0020-002-01,3000200000176F,2,1,54.0,1,L,0,,0,2022-01-02 11:14:06
VD-11-0020-002-01,3000200000176F,2,1,54.0,1,S,1,,0,2022-01-02 11:14:06
VD-11-0020-008-01,3000200000760F,0,1,0,0,L,0,,0,2022-01-02 11:14:06
VD-11-0020-008-01,3000200000760F,0,1,0,0,S,0,,0,2022-01-02 11:14:06
VD-11-0020-008-01,3000200000760F,1,1,54.0,8.9,L,0,,0,2022-01-02 11:14:06
VD-11-0020-008-01,3000200000760F,1,1,54.0,8.9,S,8,,0,2022-01-02 11:14:06
VD-11-0020-010-01,3000200000971F,0,1,58.0,4.0,L,1,,0,2022-01-02 11:14:06
VD-11-0020-010-01,3000200000971F,0,1,58.0,4.0,S,5,,0,2022-01-02 11:14:06
VD-11-0020-010-01,3000200000971F,1,1,54.5,14.0,L,1,,0,2022-01-02 11:14:06
VD-11-0020-010-01,3000200000971F,1,1,54.5,14.0,S,22,,0,2022-01-02 11:14:06
VD-11-0020-019-01,3000200001756F,0,1,31.0,3.0,L,0,,0,2022-01-02 11:14:06
VD-11-0020-019-01,3000200001756F,0,1,31.0,3.0,S,7,,0,2022-01-02 11:14:06
VD-11-0020-019-01,3000200001756F,1,1,19.0,15.8,L,0,,0,2022-01-02 11:14:06
VD-11-0020-019-01,3000200001756F,1,1,19.0,15.8,S,5,,0,2022-01-02 11:14:06
VD-11-0020-028-01,3000200002824F,0,1,45.0,1,L,0,,0,2022-01-02 11:14:06
VD-11-0020-028-01,3000200002824F,0,1,45.0,1,S,1,,0,2022-01-02 11:14:06
VD-11-0020-028-01,3000200002824F,1,1,48.0,1,L,0,,0,2022-01-02 11:14:06
VD-11-0020-028-01,3000200002824F,1,1,48.0,1,S,2,,0,2022-01-02 11:14:06
VD-11-0020-041-01,3000200004096F,0,1,0,0,L,0,,0,2022-01-02 11:14:06
VD-11-0020-041-01,3000200004096F,0,1,0,0,S,0,,0,2022-01-02 11:14:06
VD-11-0020-041-01,3000200004096F,1,1,59.0,1.0,L,0,,0,2022-01-02 11:14:06
VD-11-0020-041-01,3000200004096F,1,1,59.0,1.0,S,4,,0,2022-01-02 11:14:06
VD-11-0020-041-01,3000200004096F,2,1,0,0,L,0,,0,2022-01-02 11:14:06
VD-11-0020-041-01,3000200004096F,2,1,0,0,S,0,,0,2022-01-02 11:14:06
VD-11-0020-041-02,3000200004138F,0,1,0,0,L,0,,0,2022-01-02 11:14:06
VD-11-0020-041-02,3000200004138F,0,1,0,0,S,0,,0,2022-01-02 11:14:06
VD-11-0020-041-02,3000200004138F,1,1,49.0,1,L,0,,0,2022-01-02 11:14:06
VD-11-0020-041-02,3000200004138F,1,1,49.0,1,S,2,,0,2022-01-02 11:14:06
VD-11-0020-041-02,3000200004138F,2,1,0,0,L,0,,0,2022-01-02 11:14:06
VD-11-0020-041-02,3000200004138F,2,1,0,0,S,0,,0,2022-01-02 11:14:06
VD-11-0020-046-01,3000200004490F,0,1,59.0,4.0,L,0,,0,2022-01-02 11:14:06
VD-11-0020-046-01,3000200004490F,0,1,59.0,4.0,S,12,,0,2022-01-02 11:14:06
VD-11-0020-046-01,3000200004490F,1,1,53.5,5.0,L,1,,0,2022-01-02 11:14:06
VD-11-0020-046-01,3000200004490F,1,1,53.5,5.0,S,7,,0,2022-01-02 11:14:06
VD-11-0020-049-01,3000200004959F,0,1,-99,-99,L,-99,,3,2022-01-02 11:14:06
VD-11-0020-049-01,3000200004959F,0,1,-99,-99,S,-99,,3,2022-01-02 11:14:06
VD-11-0020-049-01,3000200004959F,1,1,-99,-99,L,-99,,3,2022-01-02 11:14:06
VD-11-0020-049-01,3000200004959F,1,1,-99,-99,S,-99,,3,2022-01-02 11:14:06
VD-11-0020-049-01,3000200104958F,0,1,-99,-99,L,-99,,3,2022-01-02 11:14:06
VD-11-0020-049-01,3000200104958F,0,1,-99,-99,S,-99,,3,2022-01-02 11:14:06
VD-11-0020-049-01,3000200104958F,1,1,-99,-99,L,-99,,3,2022-01-02 11:14:06
VD-11-0020-049-01,3000200104958F,1,1,-99,-99,S,-99,,3,2022-01-02 11:14:06
VD-11-0020-052-01,3000200005195C,0,1,0,0,L,0,,0,2022-01-02 11:14:06
VD-11-0020-052-01,3000200005195C,0,1,0,0,S,0,,0,2022-01-02 11:14:06
VD-11-0020-052-01,3000200005195C,1,1,0,0,L,0,,0,2022-01-02 11:14:06
VD-11-0020-052-01,3000200005195C,1,1,0,0,S,0,,0,2022-01-02 11:14:06
VD-11-002B-015-01,3000220101530F,0,1,0,0,L,0,,0,2022-01-02 11:14:06
VD-11-002B-015-01,3000220101530F,0,1,0,0,S,0,,0,2022-01-02 11:14:06
