updatetime,updateinterval,authoritycode,sectionid,traveltime,travelspeed,congestionlevelid,congestionlevel,hashistorical,hasvd,hasavi,hasetag,hasgvp,hascvp,hasothers,datacollecttime
2022-01-19 16:32:27,60,THB,3000900014884U,18,55,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900014912U,65,55,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900015012U,54,67,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900015112U,54,67,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900015212U,122,53,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900015391U,12,67,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900015414U,13,67,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900015439U,28,61,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900015487U,18,43,B,2,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900015508U,84,43,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900015608U,128,55,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900015804U,12,55,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900015822U,34,43,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900015863U,42,48,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900015919U,6,48,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900015927U,112,35,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900016036U,97,35,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900016130U,110,48,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900016276U,17,48,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900016299U,25,48,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900016332U,110,48,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900016479U,44,81,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900016579U,44,81,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900016679U,75,48,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900016779U,40,48,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900016832U,112,60,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900017018U,3,60,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900017023U,20,44,B,2,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900017047U,14,44,B,2,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900017064U,13,44,B,2,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900017080U,57,60,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900017175U,28,60,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900017222U,97,60,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900017383U,60,60,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900017483U,49,60,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900017565U,21,55,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900017597U,15,55,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900017620U,54,55,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900017702U,53,55,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900017783U,61,60,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900017884U,57,63,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900017984U,46,63,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900018064U,43,63,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900018140U,74,60,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900018264U,33,60,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900018319U,19,60,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900018350U,62,60,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900018453U,14,60,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900018477U,16,60,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900018503U,7,44,B,2,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900018512U,13,44,B,2,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900018528U,12,41,B,2,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900018542U,12,34,B,2,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900018553U,61,34,B,2,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900109926G,58,61,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900110024G,7,53,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900110034G,36,50,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900110084G,73,50,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900110185G,16,50,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900110207G,56,53,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900110290G,9,53,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900110303G,3,53,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900110311G,3,53,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900110316G,1,53,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900111342G,78,45,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900111440G,81,45,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900111541G,67,55,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900111643G,70,55,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900111750G,7,55,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900111760G,137,32,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900111882G,7,32,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900111888G,5,45,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900111894G,123,45,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900112048G,78,45,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900112146G,81,45,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900112247G,80,45,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900112347G,37,45,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900112393G,12,45,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900112408G,18,30,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900112423G,28,30,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900112446G,3,43,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900112450G,13,34,D,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900112462G,48,63,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900112517G,28,50,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900112556G,35,65,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900112619G,55,65,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900112718G,137,50,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900112908G,49,73,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900113008G,64,56,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900113108G,51,71,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900113208G,51,71,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900113308G,51,70,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900113408G,58,62,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900113508G,113,62,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900113703G,4,61,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900113709G,59,61,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900113809G,62,58,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900113909G,57,63,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900114009G,106,56,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900114174G,68,63,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900114293G,38,63,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900114360U,26,63,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
2022-01-19 16:32:27,60,THB,3000900114405U,25,57,B,1,0,1,0,1,1,0,0,2022-01-19 16:32:27
