vdid,linkid,laneid,lanetype,speed,occupancy,vehicletype,volume,speed2,status,datacollecttime
VD-11-0020-000-01,3000200000027F,0,1,33.0,4.0,L,0,,0,2022-01-03 12:10:08
VD-11-0020-000-01,3000200000027F,0,1,33.0,4.0,S,10,,0,2022-01-03 12:10:08
VD-11-0020-000-01,3000200000027F,1,1,45.0,8.0,L,0,,0,2022-01-03 12:10:08
VD-11-0020-000-01,3000200000027F,1,1,45.0,8.0,S,6,,0,2022-01-03 12:10:08
VD-11-0020-000-01,3000200000027F,2,1,52.0,3.0,L,0,,0,2022-01-03 12:10:08
VD-11-0020-000-01,3000200000027F,2,1,52.0,3.0,S,11,,0,2022-01-03 12:10:08
VD-11-0020-002-01,3000200000176F,0,1,46.0,29.0,L,6,,0,2022-01-03 12:10:08
VD-11-0020-002-01,3000200000176F,0,1,46.0,29.0,S,30,,0,2022-01-03 12:10:08
VD-11-0020-002-01,3000200000176F,1,1,43.0,12.0,L,3,,0,2022-01-03 12:10:08
VD-11-0020-002-01,3000200000176F,1,1,43.0,12.0,S,18,,0,2022-01-03 12:10:08
VD-11-0020-002-01,3000200000176F,2,1,53.0,5.0,L,1,,0,2022-01-03 12:10:08
VD-11-0020-002-01,3000200000176F,2,1,53.0,5.0,S,6,,0,2022-01-03 12:10:08
VD-11-0020-008-01,3000200000760F,0,1,42.0,1,L,0,,0,2022-01-03 12:10:08
VD-11-0020-008-01,3000200000760F,0,1,42.0,1,S,2,,0,2022-01-03 12:10:08
VD-11-0020-008-01,3000200000760F,1,1,44.0,8.2,L,0,,0,2022-01-03 12:10:08
VD-11-0020-008-01,3000200000760F,1,1,44.0,8.2,S,6,,0,2022-01-03 12:10:08
VD-11-0020-010-01,3000200000971F,0,1,57.0,7.0,L,0,,0,2022-01-03 12:10:08
VD-11-0020-010-01,3000200000971F,0,1,57.0,7.0,S,13,,0,2022-01-03 12:10:08
VD-11-0020-010-01,3000200000971F,1,1,55.5,4.0,L,1,,0,2022-01-03 12:10:08
VD-11-0020-010-01,3000200000971F,1,1,55.5,4.0,S,8,,0,2022-01-03 12:10:08
VD-11-0020-019-01,3000200001756F,0,1,20.0,1.0,L,0,,0,2022-01-03 12:10:08
VD-11-0020-019-01,3000200001756F,0,1,20.0,1.0,S,1,,0,2022-01-03 12:10:08
VD-11-0020-019-01,3000200001756F,1,1,41.0,1.0,L,0,,0,2022-01-03 12:10:08
VD-11-0020-019-01,3000200001756F,1,1,41.0,1.0,S,1,,0,2022-01-03 12:10:08
VD-11-0020-028-01,3000200002824F,0,1,38.0,1,L,0,,0,2022-01-03 12:10:08
VD-11-0020-028-01,3000200002824F,0,1,38.0,1,S,1,,0,2022-01-03 12:10:08
VD-11-0020-028-01,3000200002824F,1,1,45.0,1,L,0,,0,2022-01-03 12:10:08
VD-11-0020-028-01,3000200002824F,1,1,45.0,1,S,2,,0,2022-01-03 12:10:08
VD-11-0020-041-01,3000200004096F,0,1,0,0,L,0,,0,2022-01-03 12:10:08
VD-11-0020-041-01,3000200004096F,0,1,0,0,S,0,,0,2022-01-03 12:10:08
VD-11-0020-041-01,3000200004096F,1,1,0,0,L,0,,0,2022-01-03 12:10:08
VD-11-0020-041-01,3000200004096F,1,1,0,0,S,0,,0,2022-01-03 12:10:08
VD-11-0020-041-01,3000200004096F,2,1,0,0,L,0,,0,2022-01-03 12:10:08
VD-11-0020-041-01,3000200004096F,2,1,0,0,S,0,,0,2022-01-03 12:10:08
VD-11-0020-041-02,3000200004138F,0,1,46.0,1.0,L,0,,0,2022-01-03 12:10:08
VD-11-0020-041-02,3000200004138F,0,1,46.0,1.0,S,3,,0,2022-01-03 12:10:08
VD-11-0020-041-02,3000200004138F,1,1,49.0,1,L,0,,0,2022-01-03 12:10:08
VD-11-0020-041-02,3000200004138F,1,1,49.0,1,S,2,,0,2022-01-03 12:10:08
VD-11-0020-041-02,3000200004138F,2,1,51.0,1,L,0,,0,2022-01-03 12:10:08
VD-11-0020-041-02,3000200004138F,2,1,51.0,1,S,1,,0,2022-01-03 12:10:08
VD-11-0020-046-01,3000200004490F,0,1,52.0,10.4,L,0,,0,2022-01-03 12:10:08
VD-11-0020-046-01,3000200004490F,0,1,52.0,10.4,S,9,,0,2022-01-03 12:10:08
VD-11-0020-046-01,3000200004490F,1,1,56.0,4.0,L,1,,0,2022-01-03 12:10:08
VD-11-0020-046-01,3000200004490F,1,1,56.0,4.0,S,5,,0,2022-01-03 12:10:08
VD-11-0020-049-01,3000200004959F,0,1,-99,-99,L,-99,,3,2022-01-03 12:10:08
VD-11-0020-049-01,3000200004959F,0,1,-99,-99,S,-99,,3,2022-01-03 12:10:08
VD-11-0020-049-01,3000200004959F,1,1,-99,-99,L,-99,,3,2022-01-03 12:10:08
VD-11-0020-049-01,3000200004959F,1,1,-99,-99,S,-99,,3,2022-01-03 12:10:08
VD-11-0020-049-01,3000200104958F,0,1,-99,-99,L,-99,,3,2022-01-03 12:10:08
VD-11-0020-049-01,3000200104958F,0,1,-99,-99,S,-99,,3,2022-01-03 12:10:08
VD-11-0020-049-01,3000200104958F,1,1,-99,-99,L,-99,,3,2022-01-03 12:10:08
VD-11-0020-049-01,3000200104958F,1,1,-99,-99,S,-99,,3,2022-01-03 12:10:08
