信義房屋台南民生店,  06-2261818, 台南市中西區民生路二段305號
信義房屋金華店,  06-2238777, 台南市中西區金華路三段58號
信義房屋文賢店,  06-2807000, 台南市北區文賢路518號
信義房屋北安店,  06-2815777, 台南市北區北安路一段152號
信義房屋小北店,  06-2518080, 台南市北區西門路四段148號
信義房屋開元店,  06-2380666, 台南市北區開元路473號
信義房屋永康勝利店,  06-3113666, 台南市永康區中華二路403號
信義房屋永康店,  06-3037123, 台南市永康區中華路628號
信義房屋安平店,  06-3000808, 台南市安平區華平路730號
信義房屋台南文化店,  06-2882858, 台南市東區中華東路三段92號
信義房屋東門店,  06-2377799, 台南市東區東門路二段90號
信義房屋東寧店,  06-2743977, 台南市東區東寧路337號
信義房屋崇明店,  06-2680022, 台南市東區崇明路345號
信義房屋成大店,  06-2008888, 台南市東區勝利路115號1樓
信義房屋虎尾寮店,  06-3310606, 台南市東區裕文路70號
信義房屋明誠鼎山店,  07-3925000, 高雄市三民區明誠一路449號
信義房屋河堤店,  07-3485000, 高雄市三民區河堤路296號
信義房屋建工店,  07-3944567, 高雄市三民區建工路607號
信義房屋後驛店,  07-3125577, 高雄市三民區博愛一路153號
信義房屋陽明店,  07-3893050, 高雄市三民區陽明路5號1樓
信義房屋澄清店,  07-3878855, 高雄市三民區澄清路535號
信義房屋大昌覺民店,  07-2620088, 高雄市三民區覺民路507號
信義房屋高雄榮總店,  07-3598500, 高雄市左營區民族一路1012－1號
信義房屋自由店,  07-5568000, 高雄市左營區自由二路330號1樓
信義房屋自由孟子店,  07-3460222, 高雄市左營區自由三路380號
信義房屋高鐵博愛店,  07-3487111, 高雄市左營區重愛路227號1樓
信義房屋博愛明誠店,  07-5577800, 高雄市左營區博愛二路258號1樓
信義房屋漢神巨蛋店,  07-3429000, 高雄市左營區博愛三路92號1樓
信義房屋左營高鐵店,  07-3485333, 高雄市左營區華夏路1163號
信義房屋華夏店,  07-2620800, 高雄市左營區華夏路781號
信義房屋中山經貿店,  07-3367666, 高雄市前鎮區中山二路7號
信義房屋光華一心店,  07-2620111, 高雄市前鎮區光華三路231號
信義房屋總圖捷運店,  07-3358133, 高雄市前鎮區新光路15號
信義房屋成功漢神店,  07-2715566, 高雄市苓雅區成功一路285號
信義房屋文化店,  07-2252299, 高雄市苓雅區廣州一街153－5號
信義房屋七賢店,  07-2387000, 高雄市新興區七賢一路247號
信義房屋新堀江店,  07-2018088, 高雄市新興區中山一路6之16號
信義房屋捷運中正店,  07-2351000, 高雄市新興區中正三路166號
信義房屋農十六店,  07-5868000, 高雄市鼓山區明誠三路704號
信義房屋美術東二店,  07-5866111, 高雄市鼓山區美術東二路440號
信義房屋高美館店,  07-5552000, 高雄市鼓山區美術館路81號
信義房屋瑞豐華榮店,  07-5528000, 高雄市鼓山區華榮路203號
信義房屋鳳山文山店,  07-7676600, 高雄市鳳山區文濱路192號1樓
信義房屋鳳山建國店,  07-7781666, 高雄市鳳山區建國路三段300號
