updatetime,vdid,linkid,laneid,lanetype,speed,occupancy,vehicletype,volume,speed2,status,datacollecttime
2022-01-01 17:09:05,VD-42-0090-162-01,3000900116276U,0,1,46.0,8.00000,M,0,0.0,0,2022-01-01 17:08:00
2022-01-01 17:09:05,VD-42-0090-162-01,3000900116276U,0,1,46.0,8.00000,S,15,46.0,0,2022-01-01 17:08:00
2022-01-01 17:09:05,VD-42-0090-162-01,3000900116276U,0,1,46.0,8.00000,L,0,0.0,0,2022-01-01 17:08:00
2022-01-01 17:09:05,VD-42-0090-162-01,3000900116276U,0,1,46.0,8.00000,T,0,0.0,0,2022-01-01 17:08:00
2022-01-01 17:09:05,VD-42-0090-154-05,3000900115387U,0,1,23.3,100.00000,M,0,0.0,0,2022-01-01 17:08:00
2022-01-01 17:09:05,VD-42-0090-154-05,3000900115387U,0,1,23.3,100.00000,S,23,23.0,0,2022-01-01 17:08:00
2022-01-01 17:09:05,VD-42-0090-154-05,3000900115387U,0,1,23.3,100.00000,L,4,25.0,0,2022-01-01 17:08:00
2022-01-01 17:09:05,VD-42-0090-154-05,3000900115387U,0,1,23.3,100.00000,T,0,0.0,0,2022-01-01 17:08:00
2022-01-01 17:09:05,VD-42-0090-154-04,3000900115387U,0,1,0.0,0.00000,M,0,0.0,0,2022-01-01 17:08:00
2022-01-01 17:09:05,VD-42-0090-154-04,3000900115387U,0,1,0.0,0.00000,S,0,0.0,0,2022-01-01 17:08:00
2022-01-01 17:09:05,VD-42-0090-154-04,3000900115387U,0,1,0.0,0.00000,L,0,0.0,0,2022-01-01 17:08:00
2022-01-01 17:09:05,VD-42-0090-154-04,3000900115387U,0,1,0.0,0.00000,T,0,0.0,0,2022-01-01 17:08:00
2022-01-01 17:09:05,VD-42-0090-154-03,3000900115387U,0,1,38.0,14.00000,M,0,0.0,0,2022-01-01 17:08:00
2022-01-01 17:09:05,VD-42-0090-154-03,3000900115387U,0,1,38.0,14.00000,S,25,38.0,0,2022-01-01 17:08:00
2022-01-01 17:09:05,VD-42-0090-154-03,3000900115387U,0,1,38.0,14.00000,L,0,0.0,0,2022-01-01 17:08:00
2022-01-01 17:09:05,VD-42-0090-154-03,3000900115387U,0,1,38.0,14.00000,T,0,0.0,0,2022-01-01 17:08:00
2022-01-01 17:09:05,VD-42-0090-154-02,3000900115387U,0,1,0.0,0.00000,M,0,0.0,0,2022-01-01 17:08:00
2022-01-01 17:09:05,VD-42-0090-154-02,3000900115387U,0,1,0.0,0.00000,S,0,0.0,0,2022-01-01 17:08:00
2022-01-01 17:09:05,VD-42-0090-154-02,3000900115387U,0,1,0.0,0.00000,L,0,0.0,0,2022-01-01 17:08:00
2022-01-01 17:09:05,VD-42-0090-154-02,3000900115387U,0,1,0.0,0.00000,T,0,0.0,0,2022-01-01 17:08:00
2022-01-01 17:09:05,VD-42-0090-154-06,3000900115387U,0,1,46.0,14.00000,M,0,0.0,0,2022-01-01 17:08:00
2022-01-01 17:09:05,VD-42-0090-154-06,3000900115387U,0,1,46.0,14.00000,S,7,46.0,0,2022-01-01 17:08:00
2022-01-01 17:09:05,VD-42-0090-154-06,3000900115387U,0,1,46.0,14.00000,L,0,0.0,0,2022-01-01 17:08:00
2022-01-01 17:09:05,VD-42-0090-154-06,3000900115387U,0,1,46.0,14.00000,T,0,0.0,0,2022-01-01 17:08:00
2022-01-01 17:09:05,VD-42-0090-166-01,3000900116579U,0,1,-99.0,-99.00000,M,-99,-99.0,1,2022-01-01 17:08:00
2022-01-01 17:09:05,VD-42-0090-166-01,3000900116579U,0,1,-99.0,-99.00000,S,-99,-99.0,1,2022-01-01 17:08:00
2022-01-01 17:09:05,VD-42-0090-166-01,3000900116579U,0,1,-99.0,-99.00000,L,-99,-99.0,1,2022-01-01 17:08:00
2022-01-01 17:09:05,VD-42-0090-166-01,3000900116579U,0,1,-99.0,-99.00000,T,-99,-99.0,1,2022-01-01 17:08:00
2022-01-01 17:09:05,VD-42-0090-166-01,3000900116579U,1,1,-99.0,-99.00000,M,-99,-99.0,1,2022-01-01 17:08:00
2022-01-01 17:09:05,VD-42-0090-166-01,3000900116579U,1,1,-99.0,-99.00000,S,-99,-99.0,1,2022-01-01 17:08:00
2022-01-01 17:09:05,VD-42-0090-166-01,3000900116579U,1,1,-99.0,-99.00000,L,-99,-99.0,1,2022-01-01 17:08:00
2022-01-01 17:09:05,VD-42-0090-166-01,3000900116579U,1,1,-99.0,-99.00000,T,-99,-99.0,1,2022-01-01 17:08:00
2022-01-01 17:09:05,VD-43-0090-175-01,3000900117598U,0,1,67.0,1.00000,M,0,0.0,0,2022-01-01 17:08:00
2022-01-01 17:09:05,VD-43-0090-175-01,3000900117598U,0,1,67.0,1.00000,S,5,67.0,0,2022-01-01 17:08:00
2022-01-01 17:09:05,VD-43-0090-175-01,3000900117598U,0,1,67.0,1.00000,L,0,0.0,0,2022-01-01 17:08:00
2022-01-01 17:09:05,VD-43-0090-175-01,3000900117598U,0,1,67.0,1.00000,T,0,0.0,0,2022-01-01 17:08:00
2022-01-01 17:09:05,VD-43-0090-175-01,3000900117598U,1,1,61.0,2.00000,M,0,0.0,0,2022-01-01 17:08:00
2022-01-01 17:09:05,VD-43-0090-175-01,3000900117598U,1,1,61.0,2.00000,S,5,61.0,0,2022-01-01 17:08:00
2022-01-01 17:09:05,VD-43-0090-175-01,3000900117598U,1,1,61.0,2.00000,L,0,0.0,0,2022-01-01 17:08:00
2022-01-01 17:09:05,VD-43-0090-175-01,3000900117598U,1,1,61.0,2.00000,T,0,0.0,0,2022-01-01 17:08:00
2022-01-01 17:09:05,VD-43-0090-179-01,3000900117886U,0,1,54.0,3.00000,M,0,0.0,0,2022-01-01 17:08:00
2022-01-01 17:09:05,VD-43-0090-179-01,3000900117886U,0,1,54.0,3.00000,S,7,54.0,0,2022-01-01 17:08:00
2022-01-01 17:09:05,VD-43-0090-179-01,3000900117886U,0,1,54.0,3.00000,L,0,0.0,0,2022-01-01 17:08:00
2022-01-01 17:09:05,VD-43-0090-179-01,3000900117886U,0,1,54.0,3.00000,T,0,0.0,0,2022-01-01 17:08:00
