updatetime,vdid,linkid,laneid,lanetype,speed,occupancy,vehicletype,volume,speed2,status,datacollecttime
2022-01-13 15:49:06,VD-42-0090-162-01,3000900116276U,0,1,37.0,3.00000,M,0,0.0,0,2022-01-13 15:48:00
2022-01-13 15:49:06,VD-42-0090-162-01,3000900116276U,0,1,37.0,3.00000,S,4,37.0,0,2022-01-13 15:48:00
2022-01-13 15:49:06,VD-42-0090-162-01,3000900116276U,0,1,37.0,3.00000,L,0,0.0,0,2022-01-13 15:48:00
2022-01-13 15:49:06,VD-42-0090-162-01,3000900116276U,0,1,37.0,3.00000,T,0,0.0,0,2022-01-13 15:48:00
2022-01-13 15:49:06,VD-42-0090-162-01,3000900016276U,0,1,0.0,0.00000,M,0,0.0,0,2022-01-13 15:48:00
2022-01-13 15:49:06,VD-42-0090-162-01,3000900016276U,0,1,0.0,0.00000,S,0,0.0,0,2022-01-13 15:48:00
2022-01-13 15:49:06,VD-42-0090-162-01,3000900016276U,0,1,0.0,0.00000,L,0,0.0,0,2022-01-13 15:48:00
2022-01-13 15:49:06,VD-42-0090-162-01,3000900016276U,0,1,0.0,0.00000,T,0,0.0,0,2022-01-13 15:48:00
2022-01-13 15:49:06,VD-42-0090-154-05,3000900115387U,0,1,32.0,26.00000,M,0,0.0,0,2022-01-13 15:48:00
2022-01-13 15:49:06,VD-42-0090-154-05,3000900115387U,0,1,32.0,26.00000,S,6,32.0,0,2022-01-13 15:48:00
2022-01-13 15:49:06,VD-42-0090-154-05,3000900115387U,0,1,32.0,26.00000,L,0,0.0,0,2022-01-13 15:48:00
2022-01-13 15:49:06,VD-42-0090-154-05,3000900115387U,0,1,32.0,26.00000,T,0,0.0,0,2022-01-13 15:48:00
2022-01-13 15:49:06,VD-42-0090-154-04,3000900115387U,0,1,0.0,0.00000,M,0,0.0,0,2022-01-13 15:48:00
2022-01-13 15:49:06,VD-42-0090-154-04,3000900115387U,0,1,0.0,0.00000,S,0,0.0,0,2022-01-13 15:48:00
2022-01-13 15:49:06,VD-42-0090-154-04,3000900115387U,0,1,0.0,0.00000,L,0,0.0,0,2022-01-13 15:48:00
2022-01-13 15:49:06,VD-42-0090-154-04,3000900115387U,0,1,0.0,0.00000,T,0,0.0,0,2022-01-13 15:48:00
2022-01-13 15:49:06,VD-42-0090-154-04,3000900115387U,1,1,14.0,8.00000,M,0,0.0,0,2022-01-13 15:48:00
2022-01-13 15:49:06,VD-42-0090-154-04,3000900115387U,1,1,14.0,8.00000,S,1,14.0,0,2022-01-13 15:48:00
2022-01-13 15:49:06,VD-42-0090-154-04,3000900115387U,1,1,14.0,8.00000,L,2,14.0,0,2022-01-13 15:48:00
2022-01-13 15:49:06,VD-42-0090-154-04,3000900115387U,1,1,14.0,8.00000,T,0,0.0,0,2022-01-13 15:48:00
2022-01-13 15:49:06,VD-42-0090-154-03,3000900115387U,0,1,47.0,1.00000,M,0,0.0,0,2022-01-13 15:48:00
2022-01-13 15:49:06,VD-42-0090-154-03,3000900115387U,0,1,47.0,1.00000,S,3,47.0,0,2022-01-13 15:48:00
2022-01-13 15:49:06,VD-42-0090-154-03,3000900115387U,0,1,47.0,1.00000,L,0,0.0,0,2022-01-13 15:48:00
2022-01-13 15:49:06,VD-42-0090-154-03,3000900115387U,0,1,47.0,1.00000,T,0,0.0,0,2022-01-13 15:48:00
2022-01-13 15:49:06,VD-42-0090-154-03,3000900115387U,1,1,55.0,1.00000,M,0,0.0,0,2022-01-13 15:48:00
2022-01-13 15:49:06,VD-42-0090-154-03,3000900115387U,1,1,55.0,1.00000,S,1,59.0,0,2022-01-13 15:48:00
2022-01-13 15:49:06,VD-42-0090-154-03,3000900115387U,1,1,55.0,1.00000,L,1,51.0,0,2022-01-13 15:48:00
2022-01-13 15:49:06,VD-42-0090-154-03,3000900115387U,1,1,55.0,1.00000,T,0,0.0,0,2022-01-13 15:48:00
2022-01-13 15:49:06,VD-42-0090-154-02,3000900115387U,0,1,19.0,5.00000,M,0,0.0,0,2022-01-13 15:48:00
2022-01-13 15:49:06,VD-42-0090-154-02,3000900115387U,0,1,19.0,5.00000,S,0,0.0,0,2022-01-13 15:48:00
2022-01-13 15:49:06,VD-42-0090-154-02,3000900115387U,0,1,19.0,5.00000,L,2,19.0,0,2022-01-13 15:48:00
2022-01-13 15:49:06,VD-42-0090-154-02,3000900115387U,0,1,19.0,5.00000,T,0,0.0,0,2022-01-13 15:48:00
2022-01-13 15:49:06,VD-42-0090-154-02,3000900115387U,1,1,26.0,6.00000,M,0,0.0,0,2022-01-13 15:48:00
2022-01-13 15:49:06,VD-42-0090-154-02,3000900115387U,1,1,26.0,6.00000,S,0,0.0,0,2022-01-13 15:48:00
2022-01-13 15:49:06,VD-42-0090-154-02,3000900115387U,1,1,26.0,6.00000,L,1,36.0,0,2022-01-13 15:48:00
2022-01-13 15:49:06,VD-42-0090-154-02,3000900115387U,1,1,26.0,6.00000,T,1,16.0,0,2022-01-13 15:48:00
2022-01-13 15:49:06,VD-42-0090-154-06,3000900115387U,0,1,48.5,8.00000,M,0,0.0,0,2022-01-13 15:48:00
2022-01-13 15:49:06,VD-42-0090-154-06,3000900115387U,0,1,48.5,8.00000,S,1,52.0,0,2022-01-13 15:48:00
2022-01-13 15:49:06,VD-42-0090-154-06,3000900115387U,0,1,48.5,8.00000,L,1,45.0,0,2022-01-13 15:48:00
2022-01-13 15:49:06,VD-42-0090-154-06,3000900115387U,0,1,48.5,8.00000,T,0,0.0,0,2022-01-13 15:48:00
2022-01-13 15:49:06,VD-42-0090-166-01,3000900116579U,0,1,78.0,2.00000,M,0,0.0,0,2022-01-13 15:48:00
2022-01-13 15:49:06,VD-42-0090-166-01,3000900116579U,0,1,78.0,2.00000,S,2,78.0,0,2022-01-13 15:48:00
2022-01-13 15:49:06,VD-42-0090-166-01,3000900116579U,0,1,78.0,2.00000,L,2,78.0,0,2022-01-13 15:48:00
2022-01-13 15:49:06,VD-42-0090-166-01,3000900116579U,0,1,78.0,2.00000,T,0,0.0,0,2022-01-13 15:48:00
2022-01-13 15:49:06,VD-42-0090-166-01,3000900116579U,1,1,64.0,1.00000,M,0,0.0,0,2022-01-13 15:48:00
2022-01-13 15:49:06,VD-42-0090-166-01,3000900116579U,1,1,64.0,1.00000,S,2,64.0,0,2022-01-13 15:48:00
2022-01-13 15:49:06,VD-42-0090-166-01,3000900116579U,1,1,64.0,1.00000,L,0,0.0,0,2022-01-13 15:48:00
2022-01-13 15:49:06,VD-42-0090-166-01,3000900116579U,1,1,64.0,1.00000,T,0,0.0,0,2022-01-13 15:48:00
2022-01-13 15:49:06,VD-42-0090-166-01,3000900016579U,0,1,0.0,0.00000,M,0,0.0,0,2022-01-13 15:48:00
2022-01-13 15:49:06,VD-42-0090-166-01,3000900016579U,0,1,0.0,0.00000,S,0,0.0,0,2022-01-13 15:48:00
2022-01-13 15:49:06,VD-42-0090-166-01,3000900016579U,0,1,0.0,0.00000,L,0,0.0,0,2022-01-13 15:48:00
2022-01-13 15:49:06,VD-42-0090-166-01,3000900016579U,0,1,0.0,0.00000,T,0,0.0,0,2022-01-13 15:48:00
